"Time","Distance","FBP","Steering","Vertical_acc","Lateral_acc","Longitudinal_a","Calculated_Gea","FF_RPM","FF_THROTTLE","GPS_Speed"
0.000,0.000,-3.540039,1.774648,1.160801,0.027835,-0.039949,4.000000,5947.399902,98.823517,119.415115
0.050,0.009,-3.173828,1.808451,1.091218,0.027803,-0.057903,4.000000,5993.600098,98.823517,119.452400
0.100,0.017,-4.150391,1.850704,0.972661,0.051400,-0.049960,4.000000,5947.399902,98.509789,119.483475
0.150,0.026,-5.859375,1.825352,0.881253,0.053135,-0.037839,4.000000,5993.600098,98.431358,119.539398
0.200,0.035,-6.225586,1.783099,0.817016,0.041487,-0.017842,4.000000,5947.399902,98.431358,119.601532
0.250,0.044,-6.225586,1.808451,0.741874,0.047615,0.003612,4.000000,5932.000000,98.431358,119.663666
0.300,0.052,-5.737305,1.850704,0.667246,0.084010,0.002230,4.000000,5993.600098,98.431358,119.725800
0.350,0.061,-5.615234,1.892958,0.671856,0.140616,-0.012965,4.000000,6009.000000,98.431358,119.812798
0.400,0.070,-6.103516,1.935211,0.815254,0.201071,0.003131,4.000000,6009.000000,98.431358,119.906006
0.450,0.079,-6.225586,1.909859,1.030804,0.251918,0.061926,4.000000,6072.200195,98.431358,119.999207
0.500,0.087,-6.713867,1.867606,1.184298,0.273249,0.119872,4.000000,6024.799805,98.431358,120.092415
0.550,0.096,-7.324219,1.825352,1.232838,0.246676,0.144414,4.000000,6009.000000,98.431358,120.160767
0.600,0.105,-7.934570,1.783099,1.222767,0.191834,0.151424,4.000000,6009.000000,98.431358,120.222900
0.650,0.114,-7.080078,1.740845,1.196230,0.161916,0.161813,4.000000,6009.000000,98.431358,120.334755
0.700,0.123,-6.347656,1.698592,1.196543,0.172147,0.161553,4.000000,6072.200195,98.431358,120.459030
0.750,0.131,-6.225586,1.690141,1.235874,0.164608,0.133686,4.000000,6088.000000,98.431358,120.583305
0.800,0.140,-6.713867,1.690141,1.224202,0.092957,0.105120,4.000000,6024.799805,97.490181,120.707573
0.850,0.149,-7.324219,1.656338,1.096303,0.016505,0.107449,4.000000,6009.000000,98.196068,120.831848
0.900,0.158,-6.469727,1.614085,0.930012,0.029313,0.113463,4.000000,6009.000000,98.431358,120.956116
0.950,0.167,-5.737305,1.639437,0.810612,0.104814,0.091381,4.000000,6072.200195,98.745087,121.080399
1.000,0.176,-6.591797,1.681690,0.752215,0.127349,0.076663,4.000000,6086.399902,98.823517,121.204674
1.050,0.185,-5.859375,1.690141,0.778880,0.074448,0.092055,4.000000,6024.399902,98.823517,121.304092
1.100,0.194,-4.150391,1.690141,0.894923,0.026387,0.081153,4.000000,6072.200195,98.823517,121.397301
1.150,0.202,-4.760742,1.656338,1.025791,0.020744,0.026456,4.000000,6086.399902,98.823517,121.515358
1.200,0.211,-5.981445,1.614085,1.092830,0.039139,0.012134,4.000000,6087.600098,98.509789,121.639626
1.250,0.220,-7.690430,1.605634,1.088331,0.075972,0.073732,4.000000,6088.000000,98.431358,121.788757
1.300,0.229,-8.056641,1.605634,1.063353,0.120102,0.126975,4.000000,6086.399902,98.431358,121.944107
1.350,0.238,-7.568359,1.605634,1.052066,0.145531,0.110641,4.000000,6087.600098,98.431358,122.074593
1.400,0.247,-6.958008,1.605634,1.010572,0.144158,0.054045,4.000000,6151.200195,98.431358,122.198860
1.450,0.256,-5.859375,1.605634,0.888486,0.109502,-0.017984,4.000000,6103.799805,98.745087,122.323135
1.500,0.265,-5.615234,1.605634,0.744329,0.033162,-0.103492,4.000000,6088.000000,98.823517,122.447411
1.550,0.274,-5.126953,1.639437,0.714119,-0.052647,-0.153381,4.000000,6088.000000,98.823517,122.571686
1.600,0.283,-5.004883,1.681690,0.859635,-0.092890,-0.113602,4.000000,6086.399902,98.509789,122.695961
1.650,0.292,-5.004883,1.690141,1.060679,-0.067237,-0.031478,4.000000,6087.600098,98.431358,122.820236
1.700,0.300,-5.004883,1.690141,1.104684,0.006003,-0.015235,4.000000,6088.000000,98.431358,122.942024
1.750,0.309,-5.957031,1.723099,0.951857,0.087764,-0.086838,4.000000,6149.620117,98.737244,123.042061
1.800,0.318,-6.701660,1.765352,0.806004,0.120156,-0.158459,4.000000,6167.000000,98.517632,123.135262
1.850,0.327,-7.312012,1.774648,0.861959,0.101889,-0.130760,4.000000,6167.000000,98.431358,123.204239
